PROGRAMA;VENTAS;INGRESOS;CONSULTAS
CREA. Y ESTR. DE NUEVOS NEGOCIOS;14;2707;78
POWER BI PRESENCIAL;76;22658;501
POWER BI PRESENCIAL V2;1;100;54
SQL SERVER;82;21886;296
SQL AVANZ;17;3747;69
POWER BI;160;43002;577
POWER BI AVANZ;25;6880;85
DATA ANALYTICS;46;10064;178
PYTHON. DATOS;58;14582;347
PYTHON AVANZ.;19;4327;80
IA & DEEP LEARNING V2;31;6267;153
DIP INTELIG. Y ANALIST. DATOS V2;199;162250,1;1631
ESP. POWER BI;136;61832;1074
ESP. SQL SERVER;78;33874,5;803
ESP. EN PYTHON DATA SCIENCE;98;41942;1439
PEE ANALIST DATOS;123;73919;678
EXCEL BÁSICO;12;1629;62
EXCEL INTERM;109;17393;259
EXCEL AVANZ;73;12830;142
PROG. MACROS;52;8422;233
EXCEL BÁSICO V2;64;9784,09;97
ESPEC. EXCEL;144;50889;1497
ESP. MACROS;30;9531;295
ESP. EXCEL EXP;116;47554;940
COST Y PRESUP;31;6355;116
CONT. FINANCIERA;14;3010;90
PLAN. FINANCIERO;54;12025;348
PRICING & R. M.;82;18808;255
DIP. FINANZAS;33;19917;476
ESP. FINANZAS;15;7186;99
GER. CENTRO DISTRIB.;26;6074;237
GEST TRANSPORTES;21;5753;167
LEAN LOGISTICS;14;2467;57
KPIS LOGÍSTICOS POWER BI;75;16868;401
GEST. COMP. Y PROV.;37;8983;167
SUPPLY CHAIN ANALYTICS;17;3826;46
PLAN. Y PRONOSTICO V2;60;15130;158
DIP SUPPLY V3;107;77872;763
PEE PLAN. DEMAN.;26;13347;228
DIRECCIÓN COMERCIAL APLICANDO IA;14;3361,5;60
GROWTH HACKING;5;1054;18
POWER APPS Y AUT. PRESENCIAL;76;22886;436
POWER APPS Y AUT. PRESENCIAL V2;3;675;28
GEST PROCESOS;40;9313;116
KPIS Y OKRS;50;10766;386
ROBOTIZ. UIPATH;14;3314;64
POWER APPS AVANZ;33;8071;145
POWER APPS Y AUT.;154;37086;498
MODEL BIZ.;36;8277;225
LEAN SIX SIGMA YELLOW;28;6912;126
DIP PROC Y MEJORA V3;14;9270;179
DIP PROC Y MEJORA V4;88;41038;743
ESP. POWER APPS Y AUT.;277;117488,3;1238
PEE ANALIST PROC;26;10465;250
PROG. WEB;6;1347;120
PROG. JAVA;7;1392;19
REACT JS;7;1495;56
ESP. FRONTEND;16;7280;140
MS PROJECT;57;13276;611
MS PROJECT AVANZADO;3;739;24
ESP. EN MS PROJECT;26;8218;340
GEST FINANC. PROYECT;23;4950;77
GEST PROYECT;5;1159;18
PMO;14;3202;77
GEST. ÁGIL PROYECT;16;2985;45
GEST PROYECT I;24;5068;158
DIP GEST PROYECTOS V4;70;46862;556
ESP. GEST. PROYECTOS V3;13;5830;49
PEE ANALIST PROY V4;10;3915;122
DIP GEST PROYECTOS V5;11;6165;143
ESP. GEST. PROYECTOS V5;3;1278;11
PEE ANALIST PROY V5;2;815;29
SAP HANA IN PRESENCIAL;56;19175;403
SAP HANA IN PRESENCIAL V2;5;1514;10
SAP HANA MM;186;58795;687
SAP HANA IN;247;83418;924
SAP HANA EWM;40;9860;160
SAP HANA PP;33;8396;156
SAP HANA SD;32;7840;125
SAP HANA FI;136;36649;462
SAP HANA HCM;48;13216;153
SAP HANA PM;80;21812;376
ESPEC. SAP LOG. INTEGRAL;26;13202;144
ESPEC.SAP HANA COMP. Y ALM.;9;2280;64
ESPEC.SAP HANA;9;3335;88
ESP. SAP MINERÍA;14;7590;98
N8N:AGENTES IA;66;15979;489
PRODUCTIVIDAD Y AUTOMATIZACIÓN DE PROCESOS CON IA;107;19430;354
CLAUDE IA;56;17603;484
DATABRICKS;45;11431;137
AWS - DATA & CLOUD;1;247;20
AZURE;16;3705;58
