PROGRAMA;APE ALTA;APE NORMAL;SEG ALTA;SEG NORMAL
DIP INTELIG. Y ANALIST. DATOS V2;38;20;-;-
DIP SUPPLY V3;20;17;-;-
DIP GEST PROYECTOS V5;20;15;-;-
DIP PROC Y MEJORA V4;20;15;-;-
DIP. FINANZAS;17;12;-;-
ESPEC.SAP HANA;5;3;-;-
ESPEC.SAP HANA PLANIF. DE LA PROD.;3;2;-;-
ESP. MACROS;10;7;-;-
ESP. GEST. PROYECTOS V3;3;3;-;-
ESP. EXCEL EXP;15;12;-;-
ESPEC.SAP HANA COMP. Y ALM.;3;2;-;-
ESPEC. EXCEL;20;15;-;-
ESPEC. SAP LOG. INTEGRAL;8;6;-;-
ESP. SQL SERVER;20;12;-;-
ESP. POWER BI;25;20;-;-
ESP. POWER APPS Y AUT.;30;25;-;-
ESP. EN PYTHON DATA SCIENCE;25;15;-;-
ESP. FINANZAS;4;4;-;-
ESP. SAP MINERÍA;6;3;-;-
PEE;0;0;;
PEE ANALIST PROY V4;3;2;-;-
PEE PLAN. DEMAN.;5;5;-;-
PEE ANALIST DATOS;25;18;-;-
PEE ANALIST PROC;5;4;-;-
CURSO;0;0;;
SAP HANA IN;28;22;-;-
SAP HANA MM;30;25;20;15
SAP HANA SD;-;-;10;8
SAP HANA FI;36;20;20;15
SAP HANA PP;-;-;12;7
SAP HANA PM;28;15;15;12
SAP HANA HCM;25;15;-;-
SAP HANA EWM;-;-;12;8
SAP HANA IN PRESENCIAL;20;18;-;-
EXCEL BÁSICO V2;-;-;8;7
EXCEL INTERM;-;-;13;10
EXCEL AVANZ;-;-;8;6
PROG. MACROS;-;-;8;6
SQL SERVER;20;18;7;7
SQL AVANZ;-;-;8;3
POWER BI;22;18;12;10
POWER BI AVANZ;-;-;4;4
POWER BI PRESENCIAL;20;18;-;-
PYTHON. DATOS;22;18;8;4
DATA ANALYTICS;-;-;8;6
PYTHON AVANZ.;-;-;4;2
PLAN. Y PRONOSTICO V2;-;-;12;8
GEST. COMP. Y PROV.;-;-;7;5
GER. CENTRO DISTRIB.;-;-;5;5
GEST TRANSPORTES;-;-;5;3
LEAN LOGISTICS;-;-;5;3
KPIS LOGÍSTICOS POWER BI;25;20;20;18
GEST PROCESOS;-;-;8;6
LEAN SIX SIGMA YELLOW;-;-;6;5
KPIS Y OKRS;-;-;13;7
POWER APPS Y AUT.;-;-;18;16
POWER APPS AVANZ;-;-;4;3
MODEL BIZ.;-;-;7;5
MS PROJECT;-;-;10;8
GEST PROYECT I;-;-;6;5
GEST. ÁGIL PROYECT;-;-;4;3
COST Y PRESUP;-;-;12;7
