FILA;PROGRAMA;CAT
11;POWER BI;TOP
12;DIP INTELIG. Y ANALIST. DATOS;TOP
13;ESP. POWER BI;TOP
14;ESP. SQL SERVER;TOP
15;ESP. EN PYTHON DATA SCIENCE;TOP
16;PEE ANALIST DATOS;TOP
17;ESPEC. EXCEL;TOP
18;ESP. EXCEL EXP;TOP
19;DIP SUPPLY;TOP
20;POWER APPS Y AUT.;TOP
21;DIP PROC Y MEJORA;TOP
22;ESP. POWER APPS Y AUT.;TOP
23;SAP HANA MM;TOP
24;SAP HANA IN;TOP
25;SAP HANA FI;TOP
26;N8N:AGENTES IA;TOP
27;CLAUDE IA;TOP
28;GROWTH HACKING;NUEVO
29;ESP. EN MS PROJECT;NORMAL
30;POWER BI PRESENCIAL;NORMAL
31;SQL SERVER;NORMAL
32;DATA ANALYTICS;NORMAL
33;PYTHON. DATOS;NORMAL
34;EXCEL BÁSICO;NORMAL
35;EXCEL INTERM;NORMAL
36;EXCEL AVANZ;NORMAL
37;PROG. MACROS;NORMAL
38;ESP. MACROS;NORMAL
39;PRICING & R. M.;NORMAL
40;DIP. FINANZAS;NORMAL
41;KPIS LOGÍSTICOS POWER BI;NORMAL
42;PLAN. Y PRONOSTICO;NORMAL
43;MS PROJECT;NORMAL
44;POWER APPS Y AUT. PRESENCIAL;NORMAL
45;GEST PROCESOS;NORMAL
46;KPIS Y OKRS;NORMAL
47;MODEL BIZ.;NORMAL
48;DIP GEST PROYECTOS;NORMAL
49;SAP HANA IN PRESENCIAL;NORMAL
50;SAP HANA SD;NORMAL
51;SAP HANA HCM;NORMAL
52;SAP HANA PM;NORMAL
53;ESPEC. SAP LOG. INTEGRAL;NORMAL
54;PLAN. FINANCIERO;NORMAL
55;SQL AVANZ;BAJO
56;POWER BI AVANZ;BAJO
57;PYTHON AVANZ.;BAJO
58;GEST PROYECT;BAJO
59;COST Y PRESUP;BAJO
60;CONT. FINANCIERA;BAJO
61;ESP. FINANZAS;BAJO
62;GER. CENTRO DISTRIB.;BAJO
63;GEST TRANSPORTES;BAJO
64;LEAN LOGISTICS;BAJO
65;GEST. COMP. Y PROV.;BAJO
66;PMO;BAJO
67;PEE PLAN. DEMAN.;BAJO
68;MS PROJECT AVANZADO;BAJO
69;POWER APPS AVANZ;BAJO
70;LEAN SIX SIGMA YELLOW;BAJO
71;PEE ANALIST PROC;BAJO
72;GEST FINANC. PROYECT;BAJO
73;ESP. GEST. PROYECTOS;BAJO
74;PEE ANALIST PROY;BAJO
75;SAP HANA EWM;BAJO
76;SAP HANA PP;BAJO
77;ESPEC.SAP HANA COMP. Y ALM.;BAJO
78;ESPEC.SAP HANA;BAJO
79;ESP. SAP MINERÍA;BAJO
80;DATABRICKS;BAJO
81;GEST. ÁGIL PROYECT;BAJO
82;AZURE;BAJO
